Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
GSEDS-1_Primary_Demand,Fast Food,Helena,1,0 kWh,0 kW,24997.6,128997,$17K,$7.90,$0M,31 kW,919.7,29059.4
GSDT-1_(General_Service_Demand_-Time-Of-Use),Outpatient,Miami,1,0 kWh,0 kW,402650,854257,$13K,$9.20,$0M,23 kW,8619,13828
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Outpatient,Anaheim,1,123 kWh,43 kW,619829,1250480,$317K,$17.81,$0M,482 kW,182481,639743
GSEDS-1_Primary_Demand,Large Office,Helena,1,0 kWh,0 kW,1191160,4166100,$345K,$7.90,$0M,628 kW,80380,573210
GS-2_(S)_Large_General_Service_Secondary,Outpatient,Fairbanks,1,3 kWh,3 kW,376861,2607740,$264K,$11.06,$0M,475 kW,27370,654890
SC-9_-_General_Large_Low_Tension_Service_[NYC],Small Office,New York,1,0 kWh,0 kW,0,99628.5,$15K,$21.82,$0M,26 kW,0,32809.5
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Warehouse,San Francisco,1,19 kWh,7 kW,63818.6,237498,$49K,$16.78,$0M,74 kW,21762.5,118338
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Midrise Apartment,San Francisco,1,29 kWh,7 kW,66161,284320,$37K,$16.78,$0M,48 kW,11923.3,87632
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Restaurant,Boulder,1,0 kWh,0 kW,101968,107333,$1K,$18.90,$0M,0 kW,674,218
3B_General_Power_TOU_(PNM-Owned_Transformer),Restaurant,Albuquerque,1,3 kWh,2 kW,19857.1,191308,$37K,$17.47,$0M,63 kW,6960.4,63464
BES-Medium_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,210554,966539,$0K,$6.29,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Small Office,Minneapolis,1,0 kWh,0 kW,12717.7,61686.8,$4K,$5.86,$0M,7 kW,753.3,6254.7
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Warehouse,Phoenix,1,0 kWh,0 kW,42083.6,164531,$32K,$6.65,$0M,59 kW,8768.7,55056
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Secondary School,Anaheim,1,262 kWh,77 kW,1394070,2340960,$655K,$16.23,$0M,"1,006 kW",497687,1254690
Power_and_Light_Medium_Schedule_PLM-11,Retail Store,Atlanta,1,0 kWh,0 kW,0,235549,$0K,$0.00,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Large Office,Boulder,1,56 kWh,45 kW,2619570,1968940,$84K,$18.90,$0M,81 kW,111750,38540
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Large Hotel,LasVegas,1,0 kWh,0 kW,435873,1605550,$153K,$12.47,$0M,278 kW,485,260580
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Primary School,LasVegas,1,0 kWh,0 kW,256899,708888,$89K,$12.47,$0M,162 kW,34714,144937
Schedule_MDC_-_Medium_Standard_General_Service_City,Secondary School,Seattle,1,0 kWh,0 kW,147362,1332630,$0K,$2.32,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Outpatient,San Francisco,1,271 kWh,70 kW,853761,1275500,$367K,$34.72,$0M,487 kW,331828,634989
OGS-TOU-NEM,Medium Office,LasVegas,1,0 kWh,0 kW,0,607281,$14K,$0.00,$0M,26 kW,0,23824
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Strip Mall,Anaheim,1,113 kWh,26 kW,337218,362119,$142K,$38.02,$0M,186 kW,149315,205275
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Restaurant,Anaheim,1,13 kWh,4 kW,65901.3,356907,$53K,$9.97,$0M,86 kW,13437,149887
BES-Large_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,40764.3,161657,$0K,$6.73,$0M,0 kW,0,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Midrise Apartment,San Francisco,1,0 kWh,0 kW,0,429769,$29K,$0.00,$0M,53 kW,0,114759
SC-9_-_General_Large_TOD_Service_[NYC],Large Office,New York,1,"2,003 kWh",399 kW,7658200,5025000,"$2,266K",$54.31,$1M,"2,934 kW",2972380,2364920
General_Service_With_Demand_Meter_(Rate_Code_25),Fast Food,Minneapolis,1,0 kWh,0 kW,19237.2,135253,$16K,$5.86,$0M,30 kW,334.9,27728
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Outpatient,San Francisco,1,136 kWh,38 kW,400082,1772560,$308K,$16.78,$0M,467 kW,116885,832747
Schedule_SMC_-_Small_General_Service_City,Fast Food,Seattle,1,0 kWh,0 kW,0,135037,$0K,$0.00,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Retail Store,Anaheim,1,113 kWh,26 kW,331408,358678,$141K,$38.02,$0M,185 kW,139959,204546
OGS-TOU-NEM,Small Hotel,LasVegas,1,0 kWh,0 kW,0,445712,$41K,$0.00,$0M,74 kW,0,67850
GSD-1_(General_Service_Demand),Medium Office,Miami,1,0 kWh,0 kW,286797,454376,$6K,$10.60,$0M,11 kW,3972,6802
BES-Small_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,206871,966539,$0K,$6.18,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Warehouse,San Francisco,1,32 kWh,5 kW,0,397701,$56K,$0.00,$0M,84 kW,0,234861
E-36_Standard_Price_Plan_for_General_Service,Secondary School,Phoenix,1,0 kWh,0 kW,556743,2104310,$239K,$6.76,$0M,434 kW,70488,407880
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Fast Food,Anaheim,1,6 kWh,2 kW,45009.8,167767,$27K,$13.20,$0M,44 kW,7142.9,70717.6
2A_(Small_Power_Service),Small Office,Albuquerque,1,0 kWh,0 kW,0,89940.7,$15K,$0.00,$0M,27 kW,0,36947.9
GSEDS-1_Secondary_Non-Demand,Hospital,Helena,1,0 kWh,0 kW,0,8407390,"$1,077K",$0.00,$1M,"1,959 kW",0,2602460
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Retail Store,Los Angeles,1,22 kWh,9 kW,197939,425422,$102K,$17.48,$0M,167 kW,57801,214422
BES-Small_Load_Delivery_Class_(Secondary),Warehouse,Chicago,1,0 kWh,0 kW,42884.2,149727,$0K,$6.18,$0M,0 kW,0,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,266096,$0K,$2.32,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Outpatient,Anaheim,1,59 kWh,24 kW,384565,1477850,$288K,$11.05,$0M,476 kW,92947,715249
Schedule_G_-_Secondary,Midrise Apartment,Baltimore,1,0 kWh,0 kW,0,297539,$23K,$0.00,$0M,43 kW,0,55847
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Small Office,New York,1,12 kWh,4 kW,69711.1,72971.6,$24K,$41.95,$0M,34 kW,24364.4,30197.9
3B_General_Power_TOU_(PNM-Owned_Transformer),Secondary School,Albuquerque,1,27 kWh,21 kW,1049350,1516130,$372K,$17.47,$0M,641 kW,216212,568850
SC-9_-_General_Large_Low_Tension_Service_[NYC],Outpatient,New York,1,0 kWh,0 kW,0,1878060,$249K,$21.82,$0M,454 kW,0,620040
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Large Office,LasVegas,1,0 kWh,0 kW,1244510,3922530,$563K,$12.47,$0M,"1,023 kW",146660,917470
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Medium Office,Atlanta,1,0 kWh,0 kW,283352,519433,$14K,$15.66,$0M,26 kW,7265,17276
BES-Large_Load_Delivery_Class_(Secondary),Large Hotel,Chicago,1,0 kWh,0 kW,351664,1461900,$0K,$6.73,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Supermarket,Anaheim,1,60 kWh,22 kW,408262,1846380,$330K,$11.05,$0M,554 kW,74894,873704
Schedule_MDD_-_Medium_Network_General_Service,Midrise Apartment,Seattle,1,0 kWh,0 kW,23920.6,170696,$0K,$4.54,$0M,0 kW,0,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Midrise Apartment,Seattle,1,0 kWh,0 kW,12223.7,151615,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDD_-_Medium_Network_General_Service,Outpatient,Seattle,1,0 kWh,0 kW,136490,1031900,$0K,$4.54,$0M,0 kW,0,0
General_Service_(A14),Strip Mall,Duluth,1,0 kWh,0 kW,149852,265183,$3K,$14.98,$0M,5 kW,1470,3487
BES-Small_Load_Delivery_Class_(Secondary),Restaurant,Chicago,1,0 kWh,0 kW,37382.7,203169,$0K,$6.18,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Fast Food,Anaheim,1,8 kWh,3 kW,70836.8,133816,$27K,$30.87,$0M,42 kW,14709.3,48473.9
GSDT-1_(General_Service_Demand_-Time-Of-Use),Medium Office,Miami,1,0 kWh,0 kW,281745,478136,$10K,$9.20,$0M,18 kW,6185,10955
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Outpatient,Los Angeles,1,49 kWh,22 kW,519453,1337890,$266K,$17.48,$0M,439 kW,144696,548479
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Medium Office,Anaheim,1,53 kWh,22 kW,251665,855019,$197K,$11.05,$0M,313 kW,60580,447270
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Secondary School,Atlanta,1,0 kWh,0 kW,1069300,1691890,$56K,$15.66,$0M,103 kW,39420,67890
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Large Office,Phoenix,1,0 kWh,0 kW,482659,4059480,$193K,$4.12,$0M,351 kW,29242,306020
General_Service_(A14),Restaurant,Duluth,1,0 kWh,0 kW,67941.5,168787,$0K,$14.98,$0M,0 kW,0,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1291450,$0K,$2.32,$0M,0 kW,0,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Restaurant,LasVegas,1,0 kWh,0 kW,52294,215992,$31K,$12.47,$0M,56 kW,1364.9,52760
GSDT-1_(General_Service_Demand_-Time-Of-Use),Small Office,Miami,1,0 kWh,0 kW,29330.7,50198.8,$1K,$9.20,$0M,3 kW,977.4,1614
OGS-TOU-NEM,Large Office,LasVegas,1,0 kWh,0 kW,0,4114230,$158K,$0.00,$0M,287 kW,0,263240
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Large Office,Atlanta,1,0 kWh,0 kW,1894340,3955800,$66K,$15.66,$0M,120 kW,40350,79580
BES-Large_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,225282,966539,$0K,$6.73,$0M,0 kW,0,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Secondary School,LasVegas,1,0 kWh,0 kW,764226,1970550,$230K,$12.47,$0M,419 kW,82007,370080
E-36_Standard_Price_Plan_for_General_Service,Supermarket,Phoenix,1,0 kWh,0 kW,200579,1234930,$232K,$6.76,$0M,423 kW,22952,423419
LGS-1_-_Large_General_Service,Midrise Apartment,LasVegas,1,0 kWh,0 kW,63880.7,178447,$14K,$8.57,$0M,25 kW,636,22884
GSEDS-1_Primary_Non-Demand,Large Hotel,Helena,1,0 kWh,0 kW,0,1997290,$187K,$0.00,$0M,339 kW,0,397460
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Small Hotel,Boulder,1,0 kWh,0 kW,73088.8,642410,$59K,$4.84,$0M,107 kW,0,133967
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Small Hotel,Atlanta,1,0 kWh,0 kW,0,594299,$0K,$0.00,$0M,0 kW,0,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1410070,$0K,$2.32,$0M,0 kW,0,0
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Supermarket,Boulder,1,0 kWh,0 kW,184372,1683090,$256K,$4.84,$0M,466 kW,19480,585590
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Small Office,Anaheim,1,14 kWh,5 kW,61646.5,63933.9,$25K,$38.02,$0M,35 kW,27129.3,34099.9
Large_Light_&_Power_-_Primary_voltage_discount,Hospital,Minneapolis,1,0 kWh,0 kW,0,4858930,$0K,$7.55,$0M,0 kW,0,0
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Strip Mall,Atlanta,1,0 kWh,0 kW,157202,304740,$8K,$15.66,$0M,15 kW,4750,9723
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Large Hotel,Phoenix,1,0 kWh,0 kW,383272,2028600,$225K,$6.65,$0M,410 kW,2440,427030
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Retail Store,Atlanta,1,0 kWh,0 kW,160886,313579,$7K,$15.66,$0M,12 kW,3780,8174
Schedule_G_-_Secondary,Warehouse,Baltimore,1,0 kWh,0 kW,0,250359,$38K,$0.00,$0M,70 kW,0,81090
4B_Large_Power_TOU_(PNM-Owned_Transformer),Large Hotel,Albuquerque,1,0 kWh,0 kW,34434.4,1073900,$0K,$17.47,$0M,0 kW,0,0
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Primary School,Boulder,1,0 kWh,0 kW,134703,873673,$133K,$4.84,$0M,241 kW,19100,261873
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Strip Mall,Atlanta,1,0 kWh,0 kW,0,411944,$0K,$0.00,$0M,0 kW,0,0
Schedule_G_-_Secondary,Outpatient,Baltimore,1,0 kWh,0 kW,0,1768540,$237K,$0.00,$0M,431 kW,0,559330
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Hospital,Anaheim,1,705 kWh,222 kW,2333560,7805370,"$1,607K",$15.57,$1M,"2,410 kW",551890,3877090
3B_General_Power_TOU_(PNM-Owned_Transformer),Supermarket,Albuquerque,1,12 kWh,9 kW,462980,1058160,$228K,$17.47,$0M,399 kW,65258,400780
GSEDS-1_Primary_Non-Demand,Medium Office,Helena,1,0 kWh,0 kW,0,827492,$111K,$0.00,$0M,201 kW,0,214364
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Primary School,Anaheim,1,118 kWh,35 kW,779879,777861,$248K,$34.91,$0M,367 kW,318129,350302
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Secondary School,Los Angeles,1,68 kWh,36 kW,1293310,2270750,$541K,$17.48,$0M,918 kW,461982,1010850
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Warehouse,San Francisco,1,27 kWh,9 kW,82372.7,223518,$53K,$17.58,$0M,75 kW,29003.1,133296.9
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Large Office,LasVegas,1,0 kWh,0 kW,1803260,3197920,$419K,$16.30,$0M,762 kW,191110,593890
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Large Office,San Francisco,1,"1,336 kWh",350 kW,4220360,5458470,"$1,833K",$33.72,$1M,"2,444 kW",1642270,2908960
GS-2_(S)_Large_General_Service_Secondary,Large Office,Fairbanks,1,44 kWh,35 kW,1629530,9586230,"$1,234K",$11.06,$1M,"2,187 kW",167040,2846550
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Secondary School,Seattle,1,0 kWh,0 kW,147362,1455040,$0K,$2.32,$0M,0 kW,0,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Outpatient,LasVegas,1,0 kWh,0 kW,277254,1008650,$183K,$12.47,$0M,333 kW,29913,305896
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Large Office,Los Angeles,1,316 kWh,154 kW,2577220,5797630,"$1,405K",$17.48,$1M,"2,263 kW",774060,2672110
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Supermarket,Boulder,1,11 kWh,9 kW,649177,628645,$27K,$18.90,$0M,34 kW,38798,16430
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Primary School,San Francisco,1,60 kWh,20 kW,355228,1277000,$234K,$16.78,$0M,381 kW,110013,553088
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Large Hotel,New York,1,667 kWh,154 kW,1759200,2147760,$543K,$41.95,$0M,567 kW,485750,589550
BES-Small_Load_Delivery_Class_(Secondary),Primary School,Chicago,1,0 kWh,0 kW,177835,636797,$10K,$6.18,$0M,18 kW,3485,13859
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,442267,$0K,$2.32,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Small Office,Boulder,1,0 kWh,0 kW,37523.2,27280,$1K,$18.90,$0M,1 kW,1177.5,606.8
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Midrise Apartment,Boulder,1,0 kWh,0 kW,27609.9,219605,$18K,$4.84,$0M,33 kW,527.8,41726
SC-9_-_General_Large_Low_Tension_Service_[NYC],Midrise Apartment,New York,1,0 kWh,0 kW,0,316142,$27K,$21.82,$0M,48 kW,0,65067
OGS-TOU-NEM,Warehouse,LasVegas,1,0 kWh,0 kW,0,143814,$3K,$0.00,$0M,6 kW,0,5073
Schedule_GS_Type_2_(Secondary),Small Office,Baltimore,1,0 kWh,0 kW,0,79396.3,$11K,$0.00,$0M,20 kW,0,20669.7
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,443467,$0K,$2.32,$0M,0 kW,0,0
Schedule_G_-_Secondary,Secondary School,Baltimore,1,0 kWh,0 kW,0,2939660,$397K,$0.00,$0M,722 kW,0,850550
A-6_Small_General_Service_TOU_Single_Phase,Medium Office,San Francisco,1,306 kWh,49 kW,0,1737520,$300K,$0.00,$0M,378 kW,0,1108800
GSEDS-1_Primary_Non-Demand,Warehouse,Helena,1,0 kWh,0 kW,0,224295,$25K,$0.00,$0M,45 kW,0,47129
GSEDS-1_Primary_Demand,Hospital,Helena,1,0 kWh,0 kW,1158300,5599580,$730K,$7.90,$0M,"1,328 kW",89070,1247830
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Medium Office,San Francisco,1,110 kWh,35 kW,290061,1024170,$208K,$16.78,$0M,297 kW,88799,499167
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Fast Food,Boulder,1,0 kWh,0 kW,55781,60765.3,$1K,$18.90,$0M,1 kW,724.1,426.4
BES-Medium_Load_Delivery_Class_(Secondary),Restaurant,Chicago,1,0 kWh,0 kW,38048.1,203169,$0K,$6.29,$0M,0 kW,0,0
Schedule_GL_(Secondary_Voltage),Medium Office,Baltimore,1,0 kWh,0 kW,182440,694358,$50K,$6.15,$0M,91 kW,6647,83414
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Medium Office,Atlanta,1,0 kWh,0 kW,0,694009,$0K,$0.00,$0M,0 kW,0,-1
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Warehouse,LasVegas,1,0 kWh,0 kW,56061.6,138782,$30K,$12.47,$0M,54 kW,9272.4,45121.1
Power_and_Light_Medium_Schedule_PLM-11,Primary School,Atlanta,1,0 kWh,0 kW,0,489309,$0K,$0.00,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,428465,$0K,$2.32,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Primary School,Anaheim,1,105 kWh,36 kW,788992,666177,$240K,$36.38,$0M,357 kW,314062,294523
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Retail Store,Atlanta,1,0 kWh,0 kW,0,424158,$0K,$0.00,$0M,0 kW,0,-2
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Strip Mall,San Francisco,1,107 kWh,26 kW,195888,577398,$141K,$17.58,$0M,187 kW,74640,368948
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Retail Store,New York,1,109 kWh,29 kW,426074,432440,$153K,$41.95,$0M,205 kW,141288,209403
E-36_Standard_Price_Plan_for_General_Service,Hospital,Phoenix,1,0 kWh,0 kW,794574,5564950,$901K,$6.76,$0M,"1,638 kW",76561,1637700
A-6_Small_General_Service_TOU_Single_Phase,Large Office,San Francisco,1,"2,765 kWh",444 kW,0,13741400,"$2,575K",$0.00,$3M,"3,169 kW",0,9426180
GSEDS-1_Primary_Demand,Supermarket,Helena,1,0 kWh,0 kW,297934,1366560,$221K,$7.90,$0M,403 kW,29976,379397
Schedule_MDC_-_Medium_Standard_General_Service_City,Primary School,Seattle,1,0 kWh,0 kW,58053.5,574095,$0K,$2.32,$0M,0 kW,0,0
Schedule_GL_(Secondary_Voltage),Outpatient,Baltimore,1,0 kWh,0 kW,206967,1185200,$148K,$6.15,$0M,269 kW,15480,254460
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Retail Store,San Francisco,1,41 kWh,12 kW,150935,569885,$110K,$16.78,$0M,171 kW,43197,297848
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Large Hotel,Los Angeles,1,83 kWh,37 kW,681843,2067680,$290K,$17.48,$0M,455 kW,108811,590040
GSEDS-1_Primary_Non-Demand,Primary School,Helena,1,0 kWh,0 kW,0,884274,$94K,$0.00,$0M,171 kW,0,186221
GSD-1_(General_Service_Demand),Warehouse,Miami,1,0 kWh,0 kW,63105.3,89918.8,$2K,$10.60,$0M,3 kW,1244.7,1828.5
Large_Light_&_Power_-_Primary_voltage_discount,Outpatient,Minneapolis,1,0 kWh,0 kW,0,912781,$0K,$7.55,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Warehouse,Anaheim,1,15 kWh,6 kW,63099.4,174820,$45K,$13.20,$0M,70 kW,16915,100125.7
Large_Light_&_Power_-_Primary_voltage_discount,Medium Office,Minneapolis,1,0 kWh,0 kW,0,580114,$0K,$7.55,$0M,0 kW,0,0
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Small Office,Phoenix,1,0 kWh,0 kW,16675.8,73228.3,$14K,$6.65,$0M,25 kW,3522.4,23524.9
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Warehouse,San Francisco,1,56 kWh,15 kW,136214,172023,$67K,$34.72,$0M,83 kW,67703.3,96538.3
General_Service_(A14),Medium Office,Duluth,1,0 kWh,0 kW,379764,546556,$0K,$14.98,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Small Office,Duluth,1,0 kWh,0 kW,0,78967.9,$9K,$0.00,$0M,16 kW,0,16446.2
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Restaurant,Anaheim,1,27 kWh,10 kW,165389,242996,$56K,$38.02,$0M,81 kW,44176,91270
General_Service_With_Demand_Meter_(Rate_Code_25),Warehouse,Minneapolis,1,0 kWh,0 kW,39969.9,179034,$10K,$5.86,$0M,18 kW,1670.1,16352
GSEDS-1_Secondary_Demand,Hospital,Helena,1,0 kWh,0 kW,1380150,5720990,$779K,$9.41,$0M,"1,418 kW",110010,1353910
Schedule_G_-_Secondary,Hospital,Baltimore,1,0 kWh,0 kW,0,9691980,"$1,193K",$0.00,$1M,"2,171 kW",0,2890280
A-6_Small_General_Service_TOU_Single_Phase,Outpatient,San Francisco,1,522 kWh,84 kW,0,2958630,$493K,$0.00,$1M,610 kW,0,1862280
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Secondary School,New York,1,884 kWh,215 kW,2974440,2287350,$881K,$41.95,$0M,"1,033 kW",971830,956940
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Retail Store,San Francisco,1,98 kWh,24 kW,193177,570619,$136K,$17.58,$0M,184 kW,69102,363618
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Outpatient,New York,1,225 kWh,70 kW,985413,1375560,$364K,$41.95,$0M,499 kW,305753,507765
GSD-1_(General_Service_Demand),Fast Food,Miami,1,0 kWh,0 kW,42701.2,99884,$1K,$10.60,$0M,3 kW,1063.2,1588.7
GSEDS-1_Secondary_Non-Demand,Warehouse,Helena,1,0 kWh,0 kW,0,262841,$42K,$0.00,$0M,77 kW,0,87498
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Outpatient,Boulder,1,0 kWh,0 kW,171829,1419640,$207K,$4.84,$0M,377 kW,14526,454641
BES-Large_Load_Delivery_Class_(Secondary),Warehouse,Chicago,1,0 kWh,0 kW,46700.7,149727,$0K,$6.73,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Outpatient,Anaheim,1,133 kWh,53 kW,840551,926577,$304K,$36.38,$0M,442 kW,274670,406823
GS-2_(S)_Large_General_Service_Secondary,Small Office,Fairbanks,1,0 kWh,0 kW,23232.1,139393,$17K,$11.06,$0M,30 kW,2258.5,38478
General_Service_With_Demand_Meter_(Rate_Code_25),Small Hotel,Minneapolis,1,0 kWh,0 kW,94913.5,556164,$46K,$5.86,$0M,83 kW,0,78083
GSEDS-1_Secondary_Non-Demand,Small Hotel,Helena,1,0 kWh,0 kW,0,760431,$68K,$0.00,$0M,123 kW,0,163961
LGS-1_-_Large_General_Service,Medium Office,LasVegas,1,0 kWh,0 kW,250638,517736,$76K,$8.57,$0M,138 kW,22571,117266
Schedule_GL_(Secondary_Voltage),Supermarket,Baltimore,1,0 kWh,0 kW,251186,1479440,$219K,$6.15,$0M,398 kW,27428,381600
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Hospital,San Francisco,1,816 kWh,239 kW,3809730,6661530,"$1,531K",$33.72,$1M,"2,211 kW",1109260,2840340
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Midrise Apartment,Anaheim,1,50 kWh,13 kW,143530,171793,$47K,$38.02,$0M,53 kW,40450,59259
Small_General_Service_Metered_(A10),Midrise Apartment,Duluth,1,0 kWh,0 kW,0,241255,$18K,$0.00,$0M,34 kW,0,39222
Power_and_Light_Medium_Schedule_PLM-11,Strip Mall,Atlanta,1,0 kWh,0 kW,0,229645,$0K,$0.00,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Midrise Apartment,San Francisco,1,61 kWh,13 kW,84123.8,253401,$50K,$17.58,$0M,54 kW,23882.5,105566
General_Service_(A14),Fast Food,Duluth,1,0 kWh,0 kW,37965.2,97245.5,$0K,$14.98,$0M,0 kW,0,0
